a	/ei/	art.一(个);每一(个);(同类事物中)任一个
ache	/eik/	vi.痛;哀怜n.(指连续)疼痛、酸痛
achieve	/ə'tʃi:v/	vt.实现,完成;达到,得到vi.达到预期目的
acid	/'æsid/	n.酸,酸性物质a.酸的,酸味的;尖刻的
acknowledge	/ək'nɔlidʒ/	vt.承认;接受;告知(信件等的)收到;答谢
acquaint	/ə'kweint/	vt.(with)使认识,使了解,使熟悉
acquaintance	/ə'kweintəns/	n.认识,相识,了解;相识的人,熟人
acquire	/ə'kwaiə/	v.获得;学到(知识等);养成(习惯)
acquisition	/,ækwi'ziʃən/	n.取得,学到,养成(习惯);获得的东西
acre	/'eikə/	n.英亩;田地;地产
acrobat	/'ækrəbæt/	n.特技演员,杂技演员
across	/ə'krɔs,ə'krɔ:s/	prep.横过,越过;在的对面ad.横过,穿过
act	/ækt/	v.表演;举动;起作用n.行为,法令;一幕
action	/'ækʃən/	n.行动,动作;作用;运转;行为;战斗
activate	/'æktiveit/	vt.启动,激活;驱动,驱使;使开始起作用
active	/'æktiv/	adj.活跃的,敏捷的,积极的;在活动中的
activity	/æk'tivəti/	n.活动;活力;能动性;
actor	/'æktə/	n.男演员;演员,行动者
actress	/'æktris/	n.女演员
actual	/'æktʃuəl/	a.实际的;现实的,真实的,目前的
acute	/ə'kju:t/	a.剧烈的;敏锐的;成锐角的;尖的,高音的
adapt	/ə'dæpt/	vt.使适应,使适合;改编;改写vi.适应
add	/æd/	vt.加;增加(进);进一步说/写vi.(to)增添
addict	/ə'dikt/	v.使沉溺;使上瘾n.沉溺于不良嗜好的人
addition	/ə'diʃən/	n.加,加法;附加部分,增加(物)
additional	/ə'diʃənəl/	a.额外的,附加的,另外的
address	/ə'dres/	n.住址;致词v.向...致词;在信封上写姓名
adequate	/'ædikwit/	adj.充足的,足够的;适当的,胜任的
adhere	/əd'hiə/	vi.(to)粘着;坚持,遵守;依附,追随
adjacent	/ə'dʒeisənt/	a.(to)(时间上)紧接着的;邻近的,毗邻的
adjective	/'ædʒiktiv/	n.形容词a.形容词的,用作形容词的
adjoin	/ə'dʒɔin/	v.临近,靠近;贴近,毗连
adjust	/ə'dʒʌst/	vt.调节;整顿,调整vi.适应(to);使调节
administer	/əd'ministə/	v.施行,实施;掌管,料理...的事务;给予
administration	/əd,mini'streiʃən/	n.经营,管理;行政,行政机关,管理部门
admire	/əd'maiə/	vt.钦佩,赞赏,羡慕;称赞,夸奖
admission	/əd'miʃən/	n.允许进入;承认;入场费,入会费,入场券
admit	/əd'mit/	vt.承认,供认;准许…进入,准许...加入
adolescent	/,ædəu'lesənt/	n.青少年a.青春期的,青少年的
adopt	/ə'dɔpt/	vt.采用,采取(态度等);选定;收养
adore	/ə'dɔ:/	vt.崇拜,敬慕,爱慕;非常喜欢
adult	/'ædʌlt,ə'dʌlt/	n.成年人a.成年的,充分长成的,成熟的
advance	/əd'vɑ:ns,əd'væns/	n.前进,预付vi.前进,进展vt.促进,推进
advanced	/əd'vɑ:nst,-'vænst/	a.超前的,先进的;高级的;开明的;前进的
advantage	/əd'vɑ:ntidʒ/	n.优点,长处,有利条件;利益,好处
advent	/'ædvənt/	n.(重要事件等的)到来,来临
adventure	/əd'ventʃə,æd-/	n.冒险,冒险活动,奇遇vt.大胆进行
adverb	/'ædvə:b/	n.副词a.副词的
adverse	/'ædvə:s,æd'və:s/	a.逆的,相反的;敌对的;不利的;有害的
advertise	/'ædvətaiz/	vt.公告,公布;为...做广告vi.登广告
